year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2012,Marina,445.2150955424525,376454,2324
2012,Merced Heights,421.14124470619123,376454,2324
2012,Midtown Terrace,397.9391288956355,376454,2324
2012,Miraloma Park,756.1923725098497,376454,2324
2012,Mission Bay,689.5233123659036,376454,2324
2012,Mission Dolores,320.9599230279341,376454,2324
2012,Nob Hill,307.78311439850694,376454,2324
2012,Noe Valley,428.0219127043747,376454,2324
2012,North Beach,517.1734931165627,376454,2324
2012,North Waterfront,390.3838567783597,376454,2324
2012,Oceanview,442.24265696115737,376454,2324
2012,Outer Mission,221.881138746669,376454,2324
2012,Outer Parkside,312.8339843623907,376454,2324
2012,Outer Richmond ,338.63301173022234,376454,2324
2012,Outer Sunset,413.05871935195154,376454,2324
2012,Pacific Heights,586.2182148097696,376454,2324
2012,Park North,288.0785187599688,376454,2324
2012,Parkside,378.27387843874783,376454,2324
2012,Parnassus/Ashbury Heights,515.9210732061051,376454,2324
2012,Portola,351.04322569213076,376454,2324
2012,Potrero Hill,466.6478402167172,376454,2324
2012,Presidio Heights,426.60859207171325,376454,2324
2012,Russian Hill,414.16272789686775,376454,2324
2012,South of Market,463.8098989043553,376454,2324
2012,Telegraph Hill,465.80212163177384,376454,2324
2012,Twin Peaks,304.89964760284107,376454,2324
2012,Union Square District,445.1967876448792,376454,2324
2012,Van Ness/ Civic Center,345.9580403883176,376454,2324
2012,West Portal,325.7954150643371,376454,2324
2012,Western Addition,274.3384600486485,376454,2324
2012,Yerba Buena,491.8140030500954,376454,2324
2013,Alamo Square,387.7941437968134,378401,2971
2013,Anza Vista,453.3404982986993,378401,2971
2013,Bayview,259.54716259308043,378401,2971
2013,Bernal Heights ,630.8973025513741,378401,2971
2013,Buena Vista Park,455.2180887853926,378401,2971
2013,Central Richmond,343.0542609770136,378401,2971
2013,Central Sunset,330.73643101918935,378401,2971
2013,Clarendon Heights,453.7716045219721,378401,2971
2013,Cow Hollow,707.4028088888208,378401,2971
2013,Croker Amazon,223.11583290346022,378401,2971
2013,Diamond Heights,533.6884470076521,378401,2971
2013,Downtown ,361.4546919822122,378401,2971
2013,Eureka Valley/Dolores Heights,608.694967227678,378401,2971
2013,Excelsior,289.749665708438,378401,2971
2013,Financial District North,274.45794363223376,378401,2971
2013,Glen Park,458.7213317825408,378401,2971
2013,Golden Gate Heights,956.1841219171134,378401,2971
2013,Haight Ashbury,478.49563657300934,378401,2971
2013,Hayes Valley,491.5892613631572,378401,2971
2013,Inner Mission,377.51801557551835,378401,2971
2013,Inner Richmond,302.9673770284064,378401,2971
2013,Inner Sunset,435.5456667813491,378401,2971
2013,Jordan Park/Laurel Heights,584.0737147409254,378401,2971
2013,Lake --The Presidio,568.6511487607912,378401,2971
2013,Lone Mountain,376.08359802951554,378401,2971
2013,Lower Pacific Heights,548.0466890413603,378401,2971
2013,Marina,655.1980415945777,378401,2971
2013,Midtown Terrace,703.0815676877947,378401,2971
2013,Mission Bay,,378401,2971
2013,Mission Dolores,427.16626614177557,378401,2971
2013,Mission Terrace,591.4020223180053,378401,2971
2013,Nob Hill,466.0264878531046,378401,2971
2013,Noe Valley,615.0639297056517,378401,2971
2013,North Beach,393.7173353455039,378401,2971
2013,North Waterfront,483.16880334240136,378401,2971
2013,Outer Parkside,372.24198616911974,378401,2971
2013,Outer Richmond ,332.40781536886453,378401,2971
2013,Outer Sunset,322.0822144332409,378401,2971
2013,Pacific Heights,503.8992613300536,378401,2971
2013,Park North,512.6307219919141,378401,2971
2013,Parkside,364.6246530241702,378401,2971
2013,Parnassus/Ashbury Heights,425.6422553308095,378401,2971
2013,Portola,235.99759251727423,378401,2971
2013,Potrero Hill,598.704795328917,378401,2971
2013,Presidio Heights,512.8402484358224,378401,2971
2013,Russian Hill,506.22752218971993,378401,2971
2013,South of Market,420.822184596571,378401,2971
2013,Sunnyside,505.83481143735054,378401,2971
2013,Telegraph Hill,653.3116166908643,378401,2971
2013,Twin Peaks,414.43569251368126,378401,2971
2013,Union Square District,1290.472106646641,378401,2971
2013,Van Ness/ Civic Center,285.0095060630079,378401,2971
2013,Visitacion Valley,293.2983722057751,378401,2971
2013,West Portal,588.0747967826295,378401,2971
2013,Western Addition,217.08906895403535,378401,2971
2013,Westwood Highlands,747.3335378171587,378401,2971
2013,Yerba Buena,753.0114133184367,378401,2971
2014,Alamo Square,484.4435521706776,380348,3528
2014,Anza Vista,620.4414065565543,380348,3528
2014,Bayview,254.9586616327385,380348,3528
2014,Bernal Heights ,544.5469286452765,380348,3528
2014,Central Richmond,423.95272693478194,380348,3528
2014,Central Sunset,456.2419957897522,380348,3528
2014,Corona Heights,888.1821435177138,380348,3528
2014,Cow Hollow,691.8654114838455,380348,3528
2014,Downtown ,428.72653267991745,380348,3528
2014,Duboce Triangle,630.3115352378672,380348,3528
2014,Eureka Valley/Dolores Heights,728.9797158498742,380348,3528
2014,Excelsior,358.3052387223773,380348,3528
2014,Financial District North,409.9438351783924,380348,3528
2014,Financial District South,694.4181461347432,380348,3528
2014,Glen Park,553.5627522522698,380348,3528
2014,Golden Gate Heights,567.3400104586142,380348,3528
2014,Haight Ashbury,496.5510012122899,380348,3528
2014,Hayes Valley,428.9237926791115,380348,3528
2014,Ingleside ,647.6496334575522,380348,3528
2014,Inner Mission,464.17584368800914,380348,3528
2014,Inner Parkside,597.200528047448,380348,3528
2014,Inner Richmond,430.93963631616293,380348,3528
2014,Inner Sunset,470.8535298670645,380348,3528
2014,Jordan Park/Laurel Heights,426.78638118475106,380348,3528
2014,Lake --The Presidio,432.9627229749632,380348,3528
2014,Lone Mountain,317.22191943039513,380348,3528
2014,Lower Pacific Heights,716.3765095625199,380348,3528
2014,Marina,642.838478220973,380348,3528
2014,Merced Heights,528.7265413888829,380348,3528
2014,Miraloma Park,1267.7662026328828,380348,3528
2014,Mission Bay,220.11108719171108,380348,3528
2014,Mission Dolores,642.2195925518146,380348,3528
2014,Mission Terrace,300.1873092016618,380348,3528
2014,Nob Hill,478.44335175268515,380348,3528
2014,Noe Valley,654.801499892284,380348,3528
2014,North Waterfront,379.92536172660726,380348,3528
2014,Outer Parkside,650.963515967709,380348,3528
2014,Outer Richmond ,401.93502221765345,380348,3528
2014,Outer Sunset,490.3635828672637,380348,3528
2014,Pacific Heights,824.6586936349588,380348,3528
2014,Park North,371.92424516843266,380348,3528
2014,Parkside,446.2392452904569,380348,3528
2014,Parnassus/Ashbury Heights,773.4061347806704,380348,3528
2014,Portola,538.2046985772841,380348,3528
2014,Potrero Hill,1045.2015459222662,380348,3528
2014,Presidio Heights,603.4509968798565,380348,3528
2014,Russian Hill,714.2220737504065,380348,3528
2014,Silver Terrace,170.2925485152069,380348,3528
2014,South Beach,524.6293121403909,380348,3528
2014,South of Market,1119.8388773148029,380348,3528
2014,Sunnyside,493.45560489574007,380348,3528
2014,Telegraph Hill,708.1930316849231,380348,3528
2014,Twin Peaks,562.9112337982453,380348,3528
2014,Union Square District,558.2711194060469,380348,3528
2014,Van Ness/ Civic Center,475.39318681250677,380348,3528
2014,Visitacion Valley,282.025468300165,380348,3528
2014,West Portal,687.7829633004551,380348,3528
2014,Western Addition,429.4883174233179,380348,3528
2014,Westwood Park,742.9797231632552,380348,3528
2014,Yerba Buena,479.9237488133093,380348,3528
2015,Alamo Square,602.1158769435003,382295,3739
2015,Anza Vista,465.6862745098039,382295,3739
2015,Bayview Heights,590.7928388746803,382295,3739
2015,Bernal Heights ,458.00429934010754,382295,3739
2015,Buena Vista Park,551.6956218496264,382295,3739
2015,Central Richmond,473.16381496171266,382295,3739
2015,Central Sunset,453.37937707089696,382295,3739
2015,Corona Heights,1100.7911936704506,382295,3739
2015,Cow Hollow,598.6205414959002,382295,3739
2015,Croker Amazon,301.61864706270705,382295,3739
2015,Downtown ,485.8868855757771,382295,3739
2015,Duboce Triangle,631.64568632801,382295,3739
2015,Eureka Valley/Dolores Heights,790.1803690820187,382295,3739
2015,Excelsior,414.35585647200105,382295,3739
2015,Financial District North,694.358566653677,382295,3739
2015,Financial District South,453.4330812935196,382295,3739
2015,Glen Park,612.1061563311456,382295,3739
2015,Golden Gate Heights,772.7128362001237,382295,3739
2015,Haight Ashbury,574.2740565313097,382295,3739
2015,Hayes Valley,536.557101875324,382295,3739
2015,Hunters Point,,382295,3739
2015,Ingleside ,192.16524813774404,382295,3739
2015,Inner Mission,435.9007753824155,382295,3739
2015,Inner Parkside,762.5272331154684,382295,3739
2015,Inner Richmond,493.6155576333694,382295,3739
2015,Inner Sunset,639.1464438694404,382295,3739
2015,Jordan Park/Laurel Heights,576.4579094375945,382295,3739
2015,Lake --The Presidio,426.6849522707296,382295,3739
2015,Lone Mountain,918.2882682038705,382295,3739
2015,Lower Pacific Heights,800.0388650775141,382295,3739
2015,Marina,1132.8373605554543,382295,3739
2015,Mission Dolores,571.7557085689909,382295,3739
2015,Mission Terrace,583.8486362312665,382295,3739
2015,Nob Hill,529.847319131393,382295,3739
2015,Noe Valley,544.6002639104153,382295,3739
2015,North Beach,448.86919667679206,382295,3739
2015,North Waterfront,890.9095931764136,382295,3739
2015,Oceanview,265.9298265032701,382295,3739
2015,Outer Mission,564.6874764662282,382295,3739
2015,Outer Parkside,652.2879690318528,382295,3739
2015,Outer Richmond ,438.46778741967495,382295,3739
2015,Outer Sunset,357.8946922463997,382295,3739
2015,Pacific Heights,910.1876901656898,382295,3739
2015,Park North,616.5723883169863,382295,3739
2015,Parkside,,382295,3739
2015,Parnassus/Ashbury Heights,605.3433249358947,382295,3739
2015,Potrero Hill,821.3009904764873,382295,3739
2015,Presidio Heights,,382295,3739
2015,Russian Hill,793.2619915605263,382295,3739
2015,South of Market,717.0825412171871,382295,3739
2015,Sunnyside,439.7498835483721,382295,3739
2015,Telegraph Hill,996.9902204858653,382295,3739
2015,Twin Peaks,417.3353789228001,382295,3739
2015,Union Square District,2258.702831998355,382295,3739
2015,Van Ness/ Civic Center,677.8382318281795,382295,3739
2015,Visitacion Valley,302.2218727063018,382295,3739
2015,Western Addition,481.4692442739424,382295,3739
2015,Yerba Buena,963.5226061641274,382295,3739
2016,Alamo Square,340.98183523166995,384242,4390
2016,Anza Vista,88.40151094606406,384242,4390
2016,Bernal Heights ,986.8421052631579,384242,4390
2016,Buena Vista Park,851.4014053492667,384242,4390
2016,Central Richmond,661.0644257703082,384242,4390
2016,Central Sunset,581.3708750724594,384242,4390
2016,Cow Hollow,1059.0656015492618,384242,4390
2016,Croker Amazon,566.7011760342162,384242,4390
2016,Downtown ,718.7768297452345,384242,4390
2016,Eureka Valley/Dolores Heights,1026.7911075237505,384242,4390
2016,Excelsior,534.2262501283425,384242,4390
2016,Financial District North,,384242,4390
2016,Glen Park,945.5665024630542,384242,4390
2016,Haight Ashbury,531.8350322320708,384242,4390
2016,Hayes Valley,175.06606919629078,384242,4390
2016,Ingleside Heights,571.5799833446893,384242,4390
2016,Inner Mission,647.7704471840341,384242,4390
2016,Inner Parkside,518.1126504655916,384242,4390
2016,Inner Richmond,403.31113221139015,384242,4390
2016,Inner Sunset,445.9238282688497,384242,4390
2016,Jordan Park/Laurel Heights,704.5664189758044,384242,4390
2016,Lower Pacific Heights,636.4307703489126,384242,4390
2016,Marina,431.9446020235903,384242,4390
2016,Merced Heights,1416.6666666666667,384242,4390
2016,Mission Bay,924.5691159025888,384242,4390
2016,Mission Terrace,879.0170132325142,384242,4390
2016,Nob Hill,777.0083145338547,384242,4390
2016,Noe Valley,799.4956512788842,384242,4390
2016,North Beach,407.5533215595707,384242,4390
2016,Outer Mission,40.7726253518439,384242,4390
2016,Outer Parkside,732.7206841423808,384242,4390
2016,Outer Richmond ,1196.645436923929,384242,4390
2016,Outer Sunset,510.5769072143791,384242,4390
2016,Pacific Heights,996.3893635634031,384242,4390
2016,Park North,211.3013698600657,384242,4390
2016,Parnassus/Ashbury Heights,1207.997484708169,384242,4390
2016,Potrero Hill,707.6516094320913,384242,4390
2016,Presidio Heights,1465.9685863874345,384242,4390
2016,Russian Hill,1024.3398771365157,384242,4390
2016,South of Market,531.1363737279744,384242,4390
2016,Sunnyside,751.1737089201878,384242,4390
2016,Telegraph Hill,903.0497705987848,384242,4390
2016,Twin Peaks,970.0854700854701,384242,4390
2016,Van Ness/ Civic Center,552.6025671312701,384242,4390
2016,Visitacion Valley,328.31900668576884,384242,4390
2016,Westwood Park,631.1954258724091,384242,4390
